,[PERIODS] (U18-54 +g|ROMANIA|01.02.2023|All|Live|All Platforms),Unnamed: 18,Unnamed: 20
1,Timebands,Digi 24,Antena 1
2,02:00 - 02:15,0.19,0.88
3,02:15 - 02:30,0.11,0.87
4,02:30 - 02:45,0.11,0.88
5,02:45 - 03:00,0.11,0.78
6,03:00 - 03:15,0.11,0.45
7,03:15 - 03:30,0.12,0.37
8,03:30 - 03:45,0.19,0.27
9,03:45 - 04:00,0.19,0.31
10,04:00 - 04:15,0.19,0.35
11,04:15 - 04:30,0.19,0.18
12,04:30 - 04:45,0.19,0.3
13,04:45 - 05:00,0.14,0.2
14,05:00 - 05:15,0.24,0.12
15,05:15 - 05:30,0.12,0.14
16,05:30 - 05:45,0.1,0.2
17,05:45 - 06:00,0.25,0.54
18,>>> 2:00 - 6:00,0.16,0.43
19,06:00 - 06:15,0.32,1.07
20,06:15 - 06:30,0.26,1.47
21,06:30 - 06:45,0.25,1.94
22,06:45 - 07:00,0.28,1.77
23,07:00 - 07:15,0.08,1.89
24,07:15 - 07:30,0.18,1.96
25,07:30 - 07:45,0.22,2.08
26,07:45 - 08:00,0.23,2
27,08:00 - 08:15,0.22,1.99
28,08:15 - 08:30,0.24,2.05
29,08:30 - 08:45,0.36,2.09
30,08:45 - 09:00,0.54,2.24
31,>>> 6:00 - 9:00,0.27,1.88
32,09:00 - 09:15,0.55,2.02
33,09:15 - 09:30,0.44,1.89
34,09:30 - 09:45,0.45,2.2
35,09:45 - 10:00,0.44,2.1
36,10:00 - 10:15,0.43,2.14
37,10:15 - 10:30,0.34,1.96
38,10:30 - 10:45,0.17,2.09
39,10:45 - 11:00,0.14,1.9
40,11:00 - 11:15,0.3,1.93
41,11:15 - 11:30,0.23,1.84
42,11:30 - 11:45,0.21,1.68
43,11:45 - 12:00,0.13,1.3
44,>>> 9:00 - 12:00,0.32,1.92
45,12:00 - 12:15,0.08,1.45
46,12:15 - 12:30,0.2,1.47
47,12:30 - 12:45,0.08,1.11
48,12:45 - 13:00,0.18,1.45
49,13:00 - 13:15,0.1,1.34
50,13:15 - 13:30,0.1,1.25
51,13:30 - 13:45,0.04,1.31
52,13:45 - 14:00,0.07,1.2
53,14:00 - 14:15,0.15,1.28
54,14:15 - 14:30,0.06,1.35
55,14:30 - 14:45,0.12,1.53
56,14:45 - 15:00,0.06,1.33
57,>>> 12:00 - 15:00,0.1,1.34
58,15:00 - 15:15,0.06,1.59
59,15:15 - 15:30,0.08,1.55
60,15:30 - 15:45,0.16,1.61
61,15:45 - 16:00,0.34,1.93
62,>>> 15:00 - 16:00,0.16,1.67
63,16:00 - 16:15,0.4,2.16
64,16:15 - 16:30,0.57,2.15
65,16:30 - 16:45,0.48,1.92
66,16:45 - 17:00,0.39,1.71
67,17:00 - 17:15,0.24,1.64
68,17:15 - 17:30,0.07,1.74
69,17:30 - 17:45,0.29,1.96
70,17:45 - 18:00,0.39,1.81
71,18:00 - 18:15,0.51,2.19
72,18:15 - 18:30,0.55,2.18
73,18:30 - 18:45,0.66,2.3
74,18:45 - 19:00,0.5,2.53
75,>>> 16:00 - 19:00,0.42,2.02
76,19:00 - 19:15,0.39,3.01
77,19:15 - 19:30,0.36,3.72
78,19:30 - 19:45,0.58,3.94
79,19:45 - 20:00,0.68,4.39
80,>>> 19:00 - 20:00,0.5,3.77
81,20:00 - 20:15,0.97,5.23
82,20:15 - 20:30,1.12,6.04
83,20:30 - 20:45,0.89,8.58
84,20:45 - 21:00,1.01,8.76
85,21:00 - 21:15,1.18,9.27
86,21:15 - 21:30,1.51,8.27
87,21:30 - 21:45,1.03,8.3
88,21:45 - 22:00,0.81,7.55
89,22:00 - 22:15,0.61,9.24
90,22:15 - 22:30,0.66,7.74
91,22:30 - 22:45,0.51,7.49
92,22:45 - 23:00,0.11,7.4
93,>>> 20:00 - 23:00,0.87,7.82
94,23:00 - 23:15,0.01,7.35
95,23:15 - 23:30,0.1,7.36
96,23:30 - 23:45,0,7.15
97,23:45 - 24:00,0.02,6.66
98,24:00 - 24:15,0.07,4.53
99,24:15 - 24:30,0.01,2.69
100,24:30 - 24:45,0.08,1.98
101,24:45 - 25:00,0.06,1.01
102,>>> 23:00 - 25:00,0.05,4.84
103,25:00 - 25:15,0.13,0.9
104,25:15 - 25:30,0.11,0.88
105,25:30 - 25:45,0.15,0.83
106,25:45 - 26:00,0.37,0.96
107,>>> 25:00 - 26:00,0.19,0.89
108,Whole day,0.31,2.61
