Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,5.59,0.0,0.19,0.0,0.0,0.11,0.02
02:15 - 02:30,4.61,0.0,0.21,0.08,0.0,0.11,0.0
02:30 - 02:45,3.93,0.0,0.21,0.0,0.0,0.11,0.0
02:45 - 03:00,3.52,0.0,0.21,0.11,0.0,0.11,0.0
03:00 - 03:15,3.26,0.0,0.15,0.13,0.0,0.11,0.0
03:15 - 03:30,3.15,0.0,0.0,0.13,0.0,0.11,0.0
03:30 - 03:45,2.88,0.0,0.0,0.13,0.0,0.11,0.0
03:45 - 04:00,2.86,0.0,0.0,0.13,0.0,0.11,0.0
04:00 - 04:15,2.8,0.0,0.0,0.13,0.0,0.0,0.0
04:15 - 04:30,2.42,0.0,0.02,0.13,0.0,0.0,0.0
04:30 - 04:45,2.47,0.07,0.04,0.13,0.0,0.0,0.0
04:45 - 05:00,2.58,0.09,0.0,0.17,0.0,0.0,0.01
05:00 - 05:15,2.49,0.09,0.0,0.13,0.0,0.0,0.08
05:15 - 05:30,2.38,0.09,0.01,0.13,0.0,0.0,0.0
05:30 - 05:45,2.57,0.17,0.15,0.16,0.0,0.0,0.0
05:45 - 06:00,3.11,0.35,0.14,0.18,0.0,0.0,0.0
06:00 - 06:15,4.14,0.47,0.06,0.13,0.0,0.0,0.14
06:15 - 06:30,5.21,0.28,0.07,0.02,0.0,0.0,0.29
06:30 - 06:45,5.97,0.27,0.0,0.0,0.0,0.0,0.35
06:45 - 07:00,7.06,0.24,0.15,0.02,0.0,0.0,0.35
07:00 - 07:15,8.46,0.3,0.2,0.03,0.0,0.0,0.43
07:15 - 07:30,9.04,0.39,0.13,0.08,0.0,0.0,0.47
07:30 - 07:45,8.92,0.43,0.12,0.08,0.0,0.0,0.45
07:45 - 08:00,8.61,0.23,0.13,0.05,0.0,0.0,0.42
08:00 - 08:15,9.42,0.04,0.54,0.02,0.0,0.03,0.7
08:15 - 08:30,10.23,0.13,0.61,0.0,0.0,0.0,0.62
08:30 - 08:45,10.34,0.06,0.4,0.0,0.08,0.0,0.37
08:45 - 09:00,10.01,0.19,0.32,0.0,0.12,0.0,0.21
09:00 - 09:15,9.36,0.33,0.27,0.0,0.0,0.16,0.44
09:15 - 09:30,9.31,0.36,0.23,0.0,0.0,0.19,0.62
09:30 - 09:45,9.24,0.59,0.27,0.0,0.06,0.0,0.61
09:45 - 10:00,9.05,0.28,0.38,0.0,0.06,0.16,0.48
10:00 - 10:15,9.56,0.19,0.46,0.02,0.06,0.32,0.45
10:15 - 10:30,9.52,0.35,0.84,0.01,0.06,0.01,0.7
10:30 - 10:45,9.64,0.45,0.81,0.0,0.06,0.0,0.49
10:45 - 11:00,10.04,0.25,0.6,0.0,0.06,0.1,0.8
11:00 - 11:15,10.18,0.39,0.43,0.06,0.06,0.22,0.58
11:15 - 11:30,11.01,0.79,0.44,0.03,0.06,0.12,0.58
11:30 - 11:45,10.74,0.59,0.4,0.0,0.06,0.1,0.71
11:45 - 12:00,10.8,0.6,0.44,0.0,0.05,0.02,0.61
12:00 - 12:15,10.74,0.63,0.59,0.0,0.0,0.05,0.66
12:15 - 12:30,10.23,0.42,0.73,0.03,0.0,0.0,0.69
12:30 - 12:45,10.45,0.7,0.74,0.0,0.04,0.03,0.61
12:45 - 13:00,10.02,0.68,0.56,0.0,0.0,0.03,0.38
13:00 - 13:15,10.72,0.6,0.57,0.0,0.0,0.03,0.4
13:15 - 13:30,11.0,0.6,0.74,0.0,0.0,0.0,0.36
13:30 - 13:45,11.58,0.58,0.71,0.0,0.0,0.12,0.11
13:45 - 14:00,12.14,0.49,0.75,0.0,0.0,0.25,0.18
14:00 - 14:15,12.1,0.4,0.87,0.0,0.0,0.11,0.39
14:15 - 14:30,12.34,0.53,0.79,0.0,0.0,0.18,0.51
14:30 - 14:45,13.13,0.63,0.65,0.0,0.0,0.49,0.57
14:45 - 15:00,12.45,0.59,0.61,0.02,0.0,0.45,0.54
15:00 - 15:15,12.12,0.32,0.66,0.02,0.0,0.45,0.86
15:15 - 15:30,12.54,0.29,0.74,0.0,0.0,0.48,1.2
15:30 - 15:45,13.17,0.32,0.86,0.0,0.0,0.1,1.25
15:45 - 16:00,13.92,0.42,1.29,0.0,0.0,0.1,0.32
16:00 - 16:15,14.61,0.34,1.08,0.0,0.0,0.0,0.78
16:15 - 16:30,15.61,0.23,1.21,0.01,0.0,0.07,0.85
16:30 - 16:45,16.07,0.28,1.06,0.0,0.02,0.0,0.56
16:45 - 17:00,17.68,0.36,1.2,0.0,0.01,0.0,0.69
17:00 - 17:15,18.72,0.68,1.01,0.05,0.0,0.0,0.75
17:15 - 17:30,19.16,0.23,0.95,0.0,0.0,0.05,0.82
17:30 - 17:45,20.39,0.29,1.18,0.06,0.0,0.11,0.94
17:45 - 18:00,21.67,0.56,1.2,0.01,0.0,0.14,0.51
18:00 - 18:15,23.35,0.75,1.37,0.17,0.0,0.05,0.63
18:15 - 18:30,24.16,1.01,1.33,0.36,0.0,0.05,0.88
18:30 - 18:45,24.78,1.0,1.32,0.23,0.0,0.18,0.59
18:45 - 19:00,25.64,0.72,0.62,0.33,0.0,0.25,0.61
19:00 - 19:15,27.22,0.7,0.81,0.31,0.0,0.16,0.67
