1,Timebands,Digi 24,Antena 3 CNN
2,02:00 - 02:15,0.26,0.07
3,02:15 - 02:30,0.26,0
4,02:30 - 02:45,0.19,0.02
5,02:45 - 03:00,0.2,0.13
6,03:00 - 03:15,0.08,0.13
7,03:15 - 03:30,0.15,0.13
8,03:30 - 03:45,0.26,0.13
9,03:45 - 04:00,0.2,0.13
10,04:00 - 04:15,0.18,0.13
11,04:15 - 04:30,0.18,0.13
12,04:30 - 04:45,0.18,0.13
13,04:45 - 05:00,0.18,0.13
14,05:00 - 05:15,0.18,0.13
15,05:15 - 05:30,0.1,0.13
16,05:30 - 05:45,0.09,0.18
17,05:45 - 06:00,0.12,0.22
18,>>> 2:00 - 6:00,0.18,0.12
19,06:00 - 06:15,0.23,0.2
20,06:15 - 06:30,0.25,0.13
21,06:30 - 06:45,0.08,0.03
22,06:45 - 07:00,0.18,0.09
23,07:00 - 07:15,0.18,0.02
24,07:15 - 07:30,0.27,0.1
25,07:30 - 07:45,0.29,0.11
26,07:45 - 08:00,0.37,0.11
27,08:00 - 08:15,0.47,0.17
28,08:15 - 08:30,0.54,0.24
29,08:30 - 08:45,0.78,0.25
30,08:45 - 09:00,0.63,0.18
31,>>> 6:00 - 9:00,0.36,0.14
32,09:00 - 09:15,0.48,0.14
33,09:15 - 09:30,0.47,0.2
34,09:30 - 09:45,0.11,0.21
35,09:45 - 10:00,0.19,0.28
36,10:00 - 10:15,0.23,0.23
37,10:15 - 10:30,0.24,0.47
38,10:30 - 10:45,0.45,0.28
39,10:45 - 11:00,0.46,0.64
40,11:00 - 11:15,0.46,0.38
41,11:15 - 11:30,0.56,0.27
42,11:30 - 11:45,0.53,0.41
43,11:45 - 12:00,0.57,0.52
44,>>> 9:00 - 12:00,0.4,0.34
45,12:00 - 12:15,0.71,0.37
46,12:15 - 12:30,0.74,0.32
47,12:30 - 12:45,0.57,0.2
48,12:45 - 13:00,0.36,0.33
49,13:00 - 13:15,0.42,0.09
50,13:15 - 13:30,0.42,0.14
51,13:30 - 13:45,0.17,0.38
52,13:45 - 14:00,0.13,0.34
53,14:00 - 14:15,0.18,0.36
54,14:15 - 14:30,0.21,0.29
55,14:30 - 14:45,0.12,0.43
56,14:45 - 15:00,0.11,0.6
57,>>> 12:00 - 15:00,0.35,0.32
58,15:00 - 15:15,0.22,0.66
59,15:15 - 15:30,0.23,0.58
60,15:30 - 15:45,0.24,0.58
61,15:45 - 16:00,0.19,0.58
62,>>> 15:00 - 16:00,0.22,0.6
63,16:00 - 16:15,0.25,0.55
64,16:15 - 16:30,0.4,0.66
65,16:30 - 16:45,0.44,0.7
66,16:45 - 17:00,0.5,0.91
67,17:00 - 17:15,0.57,0.86
68,17:15 - 17:30,0.5,0.91
69,17:30 - 17:45,0.34,1.07
70,17:45 - 18:00,0.64,1.22
71,18:00 - 18:15,0.63,1.11
72,18:15 - 18:30,0.6,1.29
73,18:30 - 18:45,0.81,1.16
74,18:45 - 19:00,1,0.79
75,>>> 16:00 - 19:00,0.56,0.93
76,19:00 - 19:15,0.98,0.79
77,19:15 - 19:30,0.84,0.75
78,19:30 - 19:45,0.77,0.77
79,19:45 - 20:00,0.96,0.43
80,>>> 19:00 - 20:00,0.89,0.68
81,20:00 - 20:15,1.14,0.54
82,20:15 - 20:30,1.18,0.62
83,20:30 - 20:45,1.21,0.65
84,20:45 - 21:00,1.15,0.83
85,21:00 - 21:15,0.86,0.9
86,21:15 - 21:30,0.91,1.21
87,21:30 - 21:45,0.63,1.2
88,21:45 - 22:00,0.58,1.84
89,22:00 - 22:15,0.44,1.23
90,22:15 - 22:30,0.49,1.04
91,22:30 - 22:45,0.39,1.02
92,22:45 - 23:00,0.09,0.25
93,>>> 20:00 - 23:00,0.76,0.95
94,23:00 - 23:15,0.09,0.36
95,23:15 - 23:30,0.1,0.42
96,23:30 - 23:45,0.29,0.43
97,23:45 - 24:00,0.15,0.23
98,24:00 - 24:15,0.17,0.2
99,24:15 - 24:30,0.2,0.24
100,24:30 - 24:45,0.33,0.13
101,24:45 - 25:00,0.32,0.1
102,>>> 23:00 - 25:00,0.21,0.26
103,25:00 - 25:15,0.15,0.09
104,25:15 - 25:30,0.13,0.09
105,25:30 - 25:45,0.02,0.09
106,25:45 - 26:00,0,0.09
107,>>> 25:00 - 26:00,0.07,0.09
108,Whole day,0.4,0.43
