1,Timebands,Digi 24,Antena 3 CNN,B1TV,Realitatea Plus,Romania TV
2,02:00 - 02:15,0.2,0,0.01,0.72,0.31
3,02:15 - 02:30,0.41,0,0,0.66,0.31
4,02:30 - 02:45,0.43,0,0,0.51,0.31
5,02:45 - 03:00,0.43,0.02,0,0.25,0.31
6,03:00 - 03:15,0.14,0.01,0,0.38,0.16
7,03:15 - 03:30,0.12,0.08,0,0.35,0.12
8,03:30 - 03:45,0.06,0.1,0,0.08,0.12
9,03:45 - 04:00,0,0.01,0,0.08,0.12
10,04:00 - 04:15,0,0,0,0.08,0.12
11,04:15 - 04:30,0,0,0,0.08,0.12
12,04:30 - 04:45,0.08,0.01,0,0.08,0.12
13,04:45 - 05:00,0.02,0,0,0.08,0.12
14,05:00 - 05:15,0,0,0,0.08,0.12
15,05:15 - 05:30,0.04,0.01,0,0.04,0.18
16,05:30 - 05:45,0.08,0,0,0,0.15
17,05:45 - 06:00,0.34,0,0.01,0,0.37
18,>>> 2:00 - 6:00,0.15,0.01,0,0.22,0.19
19,06:00 - 06:15,0.51,0.02,0.01,0,0.3
20,06:15 - 06:30,0.57,0,0,0.01,0.31
21,06:30 - 06:45,0.38,0.03,0,0,0.35
22,06:45 - 07:00,0.4,0.26,0,0,0.25
23,07:00 - 07:15,0.48,0.15,0.02,0,0.46
24,07:15 - 07:30,0.64,0.03,0,0,0.72
25,07:30 - 07:45,0.48,0.04,0,0.01,0.58
26,07:45 - 08:00,0.36,0.11,0,0,0.37
27,08:00 - 08:15,0.25,0.06,0,0,0.56
28,08:15 - 08:30,0.29,0.19,0.02,0.01,0.65
29,08:30 - 08:45,0.54,0.18,0.01,0,0.89
30,08:45 - 09:00,0.48,0.45,0,0.01,0.79
31,>>> 6:00 - 9:00,0.45,0.13,0.01,0,0.52
32,09:00 - 09:15,0.55,0.36,0.01,0.13,0.97
33,09:15 - 09:30,0.42,0.16,0,0.25,1.05
34,09:30 - 09:45,0.47,0.19,0,0.25,0.87
35,09:45 - 10:00,0.39,0.31,0.03,0.19,0.63
36,10:00 - 10:15,0.46,0.49,0.05,0.12,0.88
37,10:15 - 10:30,0.34,0.51,0.09,0.3,1.06
38,10:30 - 10:45,0.34,0.82,0.1,0.12,0.63
39,10:45 - 11:00,0.56,0.95,0.05,0.02,0.24
40,11:00 - 11:15,0.3,0.95,0.2,0.07,0.27
41,11:15 - 11:30,0.51,1.04,0.14,0.02,0.25
42,11:30 - 11:45,0.64,1.07,0.15,0,0.15
43,11:45 - 12:00,0.35,0.8,0.14,0.09,0.34
44,>>> 9:00 - 12:00,0.45,0.64,0.08,0.13,0.61
45,12:00 - 12:15,0.41,1.02,0.22,0,0.63
46,12:15 - 12:30,0.37,0.81,0.17,0,1
47,12:30 - 12:45,0.23,0.76,0.2,0,1.22
48,12:45 - 13:00,0.33,0.68,0.09,0.07,1.07
49,13:00 - 13:15,0.31,0.45,0.08,0,0.93
50,13:15 - 13:30,0.31,0.39,0.08,0.09,0.99
51,13:30 - 13:45,0.66,0.37,0.11,0.12,0.82
52,13:45 - 14:00,0.68,0.34,0,0.14,0.57
53,14:00 - 14:15,0.57,0.5,0,0.27,0.57
54,14:15 - 14:30,0.48,0.55,0,0.13,0.64
55,14:30 - 14:45,0.34,0.31,0.02,0.12,0.63
56,14:45 - 15:00,0.26,0.5,0,0.16,0.78
57,>>> 12:00 - 15:00,0.41,0.56,0.08,0.09,0.82
58,15:00 - 15:15,0.36,0.78,0,0.18,0.81
59,15:15 - 15:30,0.39,0.79,0.03,0.19,0.89
60,15:30 - 15:45,0.61,0.66,0.02,0.2,1.09
61,15:45 - 16:00,0.45,1.02,0.01,0.13,0.74
62,>>> 15:00 - 16:00,0.45,0.81,0.02,0.18,0.88
63,16:00 - 16:15,0.81,1.16,0.02,0.13,0.9
64,16:15 - 16:30,0.91,1.04,0.12,0.5,0.94
65,16:30 - 16:45,0.86,0.7,0.29,0.36,0.99
66,16:45 - 17:00,0.72,0.47,0.33,0.21,0.79
67,17:00 - 17:15,0.64,0.72,0.25,0.2,0.8
68,17:15 - 17:30,0.35,1,0.36,0.27,0.84
69,17:30 - 17:45,0.24,0.91,0.12,0.23,0.76
