Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.06,0.0,0.19,0.0,0.0,0.17,0.46
02:15 - 02:30,5.45,0.01,0.0,0.0,0.0,0.17,0.37
02:30 - 02:45,4.76,0.0,0.0,0.0,0.0,0.02,0.36
02:45 - 03:00,4.33,0.0,0.0,0.0,0.0,0.0,0.36
03:00 - 03:15,3.75,0.0,0.0,0.0,0.0,0.0,0.36
03:15 - 03:30,3.45,0.0,0.0,0.0,0.0,0.0,0.36
03:30 - 03:45,3.25,0.0,0.0,0.0,0.0,0.0,0.36
03:45 - 04:00,2.96,0.0,0.0,0.0,0.0,0.0,0.28
04:00 - 04:15,2.7,0.0,0.0,0.0,0.0,0.0,0.24
04:15 - 04:30,2.8,0.0,0.0,0.0,0.0,0.0,0.24
04:30 - 04:45,2.75,0.0,0.0,0.0,0.0,0.0,0.18
04:45 - 05:00,2.64,0.0,0.03,0.0,0.0,0.0,0.13
05:00 - 05:15,2.54,0.0,0.02,0.0,0.0,0.0,0.25
05:15 - 05:30,2.66,0.0,0.0,0.0,0.0,0.0,0.39
05:30 - 05:45,2.69,0.01,0.0,0.0,0.0,0.0,0.25
05:45 - 06:00,3.29,0.11,0.03,0.01,0.0,0.0,0.25
Medie 2-6,3.51,0.01,0.02,0.0,0.0,0.02,0.3
06:00 - 06:15,4.12,0.16,0.11,0.01,0.0,0.0,0.38
06:15 - 06:30,4.44,0.1,0.12,0.0,0.06,0.06,0.36
06:30 - 06:45,4.69,0.08,0.07,0.0,0.06,0.01,0.36
06:45 - 07:00,5.59,0.09,0.08,0.07,0.0,0.01,0.36
07:00 - 07:15,6.19,0.05,0.02,0.0,0.0,0.0,0.36
07:15 - 07:30,6.42,0.11,0.04,0.0,0.07,0.01,0.38
07:30 - 07:45,6.86,0.03,0.05,0.03,0.11,0.04,0.2
07:45 - 08:00,7.78,0.08,0.07,0.0,0.09,0.04,0.11
08:00 - 08:15,8.55,0.1,0.17,0.0,0.0,0.15,0.4
08:15 - 08:30,9.16,0.09,0.23,0.01,0.04,0.21,0.39
08:30 - 08:45,9.34,0.0,0.46,0.0,0.04,0.11,0.46
08:45 - 09:00,9.48,0.01,0.5,0.0,0.0,0.01,0.33
Medie 6-9,6.89,0.08,0.16,0.01,0.04,0.05,0.34
09:00 - 09:15,9.98,0.12,0.31,0.0,0.0,0.2,0.32
09:15 - 09:30,9.94,0.32,0.59,0.0,0.0,0.14,0.41
